Reference,Year,Full.Reference,peer.review,search,Location,USA,Global.Region,Method,Conventional..Molecular..or.Immunologic,MDL.ALOD.LOD,Below.MDL,MDL.units,Sample.Volume,kingdom,class,order,family,genius,Animal.common.name,Animal.Latin.Name,X,Free.captive,Pathogen.name.original,Pathogen.rename,Pathogen,medium,Presence,Enumerated,Enum.Stats,Censored.Data,Presence.Absence,Total,percent,Individual.Sample,Mean,Geometric.mean,Standard.deviation,Median,Min,Max,X95..low,X95..high,units,Notes,Notes.1,CenMedianLow,CenMedianHigh,CenMinLow,CenMinHigh,CenMaxLow,CenMaxHigh,log10mean,log10SD,GRADES,GRADES_Score
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough, Whitby and Staithes rooftop",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella haardt,Salmonella enterica subsp. enterica serovar Haardt,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,261,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Sunderland rooftop",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella haardt,Salmonella enterica subsp. enterica serovar Haardt,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,99,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Northumberland, Durham, North Yorkshire garbage dump",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella hadar,Salmonella enterica subsp. enterica serovar Hadar,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,10,1934,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough garbage dump",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella hadar,Salmonella enterica subsp. enterica serovar Hadar,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,124,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough Harbor/Whitby rooftops",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella hadar,Salmonella enterica subsp. enterica serovar Hadar,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,141,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough, Whitby and Staithes rooftop",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella hadar,Salmonella enterica subsp. enterica serovar Hadar,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,3,227,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough, Whitby and Staithes rooftop",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella hadar,Salmonella enterica subsp. enterica serovar Hadar,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,261,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Sunderland rooftop",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella hadar,Salmonella enterica subsp. enterica serovar Hadar,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,99,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Northumberland, Durham, North Yorkshire garbage dump",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella heidelber,Salmonella enterica subsp. enterica serovar Heidelberg,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,10,1934,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough garbage dump",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella heidelber,Salmonella enterica subsp. enterica serovar Heidelberg,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,124,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough Harbor/Whitby rooftops",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella heidelber,Salmonella enterica subsp. enterica serovar Heidelberg,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,141,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough, Whitby and Staithes rooftop",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella heidelber,Salmonella enterica subsp. enterica serovar Heidelberg,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,5,227,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough, Whitby and Staithes rooftop",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella heidelber,Salmonella enterica subsp. enterica serovar Heidelberg,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,8,261,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Sunderland rooftop",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella heidelber,Salmonella enterica subsp. enterica serovar Heidelberg,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,99,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Northumberland, Durham, North Yorkshire garbage dump",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella indiana,Salmonella enterica subsp. enterica serovar Indiana,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,1,1934,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough garbage dump",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella indiana,Salmonella enterica subsp. enterica serovar Indiana,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,1,124,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough Harbor/Whitby rooftops",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella indiana,Salmonella enterica subsp. enterica serovar Indiana,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,141,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough, Whitby and Staithes rooftop",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella indiana,Salmonella enterica subsp. enterica serovar Indiana,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,227,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough, Whitby and Staithes rooftop",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella indiana,Salmonella enterica subsp. enterica serovar Indiana,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,261,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Sunderland rooftop",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella indiana,Salmonella enterica subsp. enterica serovar Indiana,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,99,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Northumberland, Durham, North Yorkshire garbage dump",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella infantis,Salmonella enterica subsp. enterica serovar Infantis,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,2,1934,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough garbage dump",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella infantis,Salmonella enterica subsp. enterica serovar Infantis,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,124,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough Harbor/Whitby rooftops",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella infantis,Salmonella enterica subsp. enterica serovar Infantis,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,141,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough, Whitby and Staithes rooftop",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella infantis,Salmonella enterica subsp. enterica serovar Infantis,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,227,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough, Whitby and Staithes rooftop",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella infantis,Salmonella enterica subsp. enterica serovar Infantis,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,261,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Sunderland rooftop",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella infantis,Salmonella enterica subsp. enterica serovar Infantis,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,99,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Northumberland, Durham, North Yorkshire garbage dump",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella kedougou,Salmonella enterica subsp. enterica serovar Kedougou,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,1,1934,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough garbage dump",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella kedougou,Salmonella enterica subsp. enterica serovar Kedougou,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,124,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough Harbor/Whitby rooftops",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella kedougou,Salmonella enterica subsp. enterica serovar Kedougou,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,141,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough, Whitby and Staithes rooftop",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella kedougou,Salmonella enterica subsp. enterica serovar Kedougou,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,227,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough, Whitby and Staithes rooftop",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella kedougou,Salmonella enterica subsp. enterica serovar Kedougou,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,261,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Sunderland rooftop",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella kedougou,Salmonella enterica subsp. enterica serovar Kedougou,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,99,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Northumberland, Durham, North Yorkshire garbage dump",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella livingstone,Salmonella enterica subsp. enterica serovar Livingstone,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,1934,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough garbage dump",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella livingstone,Salmonella enterica subsp. enterica serovar Livingstone,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,1,124,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough Harbor/Whitby rooftops",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella livingstone,Salmonella enterica subsp. enterica serovar Livingstone,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,141,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough, Whitby and Staithes rooftop",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella livingstone,Salmonella enterica subsp. enterica serovar Livingstone,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,3,227,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough, Whitby and Staithes rooftop",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella livingstone,Salmonella enterica subsp. enterica serovar Livingstone,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,1,261,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Sunderland rooftop",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella livingstone,Salmonella enterica subsp. enterica serovar Livingstone,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,99,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Northumberland, Durham, North Yorkshire garbage dump",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella montevideo,Salmonella enterica subsp. enterica serovar Montevideo,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,1934,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough garbage dump",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella montevideo,Salmonella enterica subsp. enterica serovar Montevideo,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,124,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough Harbor/Whitby rooftops",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella montevideo,Salmonella enterica subsp. enterica serovar Montevideo,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,141,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough, Whitby and Staithes rooftop",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella montevideo,Salmonella enterica subsp. enterica serovar Montevideo,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,1,227,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough, Whitby and Staithes rooftop",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella montevideo,Salmonella enterica subsp. enterica serovar Montevideo,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,261,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Sunderland rooftop",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella montevideo,Salmonella enterica subsp. enterica serovar Montevideo,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,99,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Northumberland, Durham, North Yorkshire garbage dump",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella panama,Salmonella enterica subsp. enterica serovar Panama,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,1,1934,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough garbage dump",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella panama,Salmonella enterica subsp. enterica serovar Panama,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,124,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough Harbor/Whitby rooftops",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella panama,Salmonella enterica subsp. enterica serovar Panama,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,141,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough, Whitby and Staithes rooftop",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella panama,Salmonella enterica subsp. enterica serovar Panama,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,227,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough, Whitby and Staithes rooftop",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella panama,Salmonella enterica subsp. enterica serovar Panama,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,261,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Sunderland rooftop",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella panama,Salmonella enterica subsp. enterica serovar Panama,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,99,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Northumberland, Durham, North Yorkshire garbage dump",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella poona,Salmonella enterica subsp. enterica serovar Poona,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,1934,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough garbage dump",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella poona,Salmonella enterica subsp. enterica serovar Poona,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,124,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough Harbor/Whitby rooftops",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella poona,Salmonella enterica subsp. enterica serovar Poona,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,1,141,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Butterfield et al. ,1983,Butterfield et al.  1983,? yes journal is no longer published,review,"UK, Scarborough, Whitby and Staithes rooftop",no,Europe,"agglutination, Culture, lense",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella poona,Salmonella enterica subsp. enterica serovar Poona,Salmonella enterica (non-typhoid),cloacal swab,yes,no,,,0,227,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
