Reference,Year,Full.Reference,peer.review,search,Location,USA,Global.Region,Method,Conventional..Molecular..or.Immunologic,MDL.ALOD.LOD,Below.MDL,MDL.units,Sample.Volume,kingdom,class,order,family,genius,Animal.common.name,Animal.Latin.Name,Animal.name.extra,Free.captive,Pathogen,medium,Presence,Enumerated,Enum.Stats,Censored.Data,Presence.Absence,Total,percent,Individual.Sample,Mean,Geometric.mean,Standard.deviation,Median,Min,Max,X95..low,X95..high,units,Notes,Notes.1,CenMedianLow,CenMedianHigh,CenMinLow,CenMinHigh,CenMaxLow,CenMaxHigh,log10mean,log10SD,GRADES,GRADES_Score
Ricca and Cooney,1998,Ricca and Cooney 1998,yes,review,"USA, MA, Milton (near landfill)",yes,North America,"Microscope, membrain filtration",Conventional,1,<1 cfu/g,cfu/g,1g,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Fecal coliform,feces,yes,yes,Semiquantitative,no,0,32,NA,,NA,NA,NA,NA,10,100,NA,NA,cfu/g,semiquantitative,Thermotolerant coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ricca and Cooney,1998,Ricca and Cooney 1998,yes,review,"USA, MA, Milton (near landfill)",yes,North America,"Microscope, membrain filtration",Conventional,1,<1 cfu/g,cfu/g,1g,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Fecal coliform,feces,yes,yes,Semiquantitative,no,0,32,NA,,NA,NA,NA,NA,100,1000,NA,NA,cfu/g,semiquantitative,Thermotolerant coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ricca and Cooney,1998,Ricca and Cooney 1998,yes,review,"USA, MA, Milton (near landfill)",yes,North America,"Microscope, membrain filtration",Conventional,1,<1 cfu/g,cfu/g,1g,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Fecal coliform,feces,yes,yes,Semiquantitative,no,1,32,NA,,NA,NA,NA,NA,1000,10000,NA,NA,cfu/g,semiquantitative,Thermotolerant coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ricca and Cooney,1998,Ricca and Cooney 1998,yes,review,"USA, MA, Milton (near landfill)",yes,North America,"Microscope, membrain filtration",Conventional,1,<1 cfu/g,cfu/g,1g,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Fecal coliform,feces,yes,yes,Semiquantitative,no,0,32,NA,,NA,NA,NA,NA,10000,1.00E+05,NA,NA,cfu/g,semiquantitative,Thermotolerant coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ricca and Cooney,1998,Ricca and Cooney 1998,yes,review,"USA, MA, Milton (near landfill)",yes,North America,"Microscope, membrain filtration",Conventional,1,<1 cfu/g,cfu/g,1g,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Fecal coliform,feces,yes,yes,Semiquantitative,no,9,32,NA,,NA,NA,NA,NA,1.00E+05,1.00E+06,NA,NA,cfu/g,semiquantitative,Thermotolerant coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ricca and Cooney,1998,Ricca and Cooney 1998,yes,review,"USA, MA, Milton (near landfill)",yes,North America,"Microscope, membrain filtration",Conventional,1,<1 cfu/g,cfu/g,1g,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Fecal coliform,feces,yes,yes,Semiquantitative,no,12,32,NA,,NA,NA,NA,NA,1.00E+06,1.00E+07,NA,NA,cfu/g,semiquantitative,Thermotolerant coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ricca and Cooney,1998,Ricca and Cooney 1998,yes,review,"USA, MA, Milton (near landfill)",yes,North America,"Microscope, membrain filtration",Conventional,1,<1 cfu/g,cfu/g,1g,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Fecal coliform,feces,yes,yes,Semiquantitative,no,7,32,NA,,NA,NA,NA,NA,1.00E+07,1.00E+08,NA,NA,cfu/g,semiquantitative,Thermotolerant coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ricca and Cooney,1998,Ricca and Cooney 1998,yes,review,"USA, MA, Milton (near landfill)",yes,North America,"Microscope, membrain filtration",Conventional,1,<1 cfu/g,cfu/g,1g,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Fecal coliform,feces,yes,yes,Semiquantitative,no,3,32,NA,,NA,NA,NA,NA,1.00E+08,1.00E+09,NA,NA,cfu/g,semiquantitative,Thermotolerant coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Gould and Fletch,1978,Gould and Fletch 1978,yes,review,"UK,  garbage dump",no,Europe,"MPN, broth culture, standard method",Conventional,NA,,CFU/g wetweight,,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,1 year captivity,Fecal coliform,feces,no,yes,StatsTotal,no,NA,39,NA,,29714285.71,NA,NA,NA,790000,46300000,NA,NA,CFU/gram,Assuming minimum and maximumu based on Table 3 based on feces type.,Also has information on NP,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Jones and Obiri-Danso,1999,Jones and Obiri-Danso 1999,symposium,review,"UK, Morecambe Bay/Lancaster",no,Europe,"MPN, 3 tube, APHA Standard Method",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Charadriidae,Vanellus,Lapwing,Vanellus vanellus,,free,Fecal coliform,feces,no,yes,Stats,no,NA,NA,NA,,NA,255000,NA,NA,155000,355000,NA,NA,MPN/g,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Gould and Fletch,1978,Gould and Fletch 1978,yes,review,"UK,  garbage dump",no,Europe,"MPN, broth culture, standard method",Conventional,NA,,CFU/g wetweight,,Animal,Bird,Charadriiformes,Laridae,Larus,Lesser black-backed gull,Larus fuscus,,1 year captivity,Fecal coliform,feces,no,yes,StatsTotal,no,NA,41,NA,,373134328.4,NA,NA,NA,120000,4.80E+09,NA,NA,CFU/gram,Assuming minimum and maximumu based on Table 3 based on feces type.,Also has information on NP,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Gould and Fletch,1978,Gould and Fletch 1978,yes,review,"UK,  garbage dump",no,Europe,"MPN, broth culture, standard method",Conventional,NA,,CFU/g wetweight,,Animal,Bird,Charadriiformes,Laridae,Larus,Lesser black-backed gull,Larus fuscus,,1 year captivity,Total coliform,feces,no,yes,StatsTotal,no,NA,41,NA,,350746268.7,NA,NA,NA,130000,5.65E+09,NA,NA,CFU/gram,Assuming minimum and maximumu based on Table 3 based on feces type.,Also has information on NP,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Jones and Obiri-Danso,1999,Jones and Obiri-Danso 1999,symposium,review,"UK, Morecambe Bay/Lancaster",no,Europe,"MPN, 3 tube, APHA Standard Method",Conventional,NA,NA,,NA,Animal,Bird,Anseriformes,Anatidae,Anas,Mallard,Anas platyrhynchos,,free,Fecal coliform,feces,no,yes,Stats,no,NA,NA,NA,,NA,7.83E+10,NA,NA,1.50E+10,1.10E+11,NA,NA,MPN/g,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Jones and Obiri-Danso,1999,Jones and Obiri-Danso 1999,symposium,review,"UK, Morecambe Bay/Lancaster",no,Europe,"MPN, 3 tube, APHA Standard Method",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Haematopodidae,Haematopus,,Haematnpus ostralegu,"Oystercatchers, ",free,Fecal coliform,feces,no,yes,Stats,no,NA,NA,NA,,NA,4.70E+11,NA,NA,35500,5.63E+12,NA,NA,MPN/g,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ricca and Cooney,1998,Ricca and Cooney 1998,yes,review,"USA, MA, Weymouth",yes,North America,"Microscope, membrain filtration",Conventional,1,<1 cfu/g,cfu/g,1g,Animal,Bird,Columbiformes,Columbinae,Columba,Pigeon,Columba livia,,free,Fecal coliform,feces,yes,yes,Semiquantitative,no,0,32,NA,,NA,NA,NA,NA,0,1,NA,NA,cfu/g,semiquantitative,Thermotolerant coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ricca and Cooney,1998,Ricca and Cooney 1998,yes,review,"USA, MA, Weymouth",yes,North America,"Microscope, membrain filtration",Conventional,1,<1 cfu/g,cfu/g,1g,Animal,Bird,Columbiformes,Columbinae,Columba,Pigeon,Columba livia,,free,Fecal coliform,feces,yes,yes,Semiquantitative,no,0,32,NA,,NA,NA,NA,NA,1,10,NA,NA,cfu/g,semiquantitative,Thermotolerant coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ricca and Cooney,1998,Ricca and Cooney 1998,yes,review,"USA, MA, Weymouth",yes,North America,"Microscope, membrain filtration",Conventional,1,<1 cfu/g,cfu/g,1g,Animal,Bird,Columbiformes,Columbinae,Columba,Pigeon,Columba livia,,free,Fecal coliform,feces,yes,yes,Semiquantitative,no,0,32,NA,,NA,NA,NA,NA,10,100,NA,NA,cfu/g,semiquantitative,Thermotolerant coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ricca and Cooney,1998,Ricca and Cooney 1998,yes,review,"USA, MA, Weymouth",yes,North America,"Microscope, membrain filtration",Conventional,1,<1 cfu/g,cfu/g,1g,Animal,Bird,Columbiformes,Columbinae,Columba,Pigeon,Columba livia,,free,Fecal coliform,feces,yes,yes,Semiquantitative,no,0,32,NA,,NA,NA,NA,NA,100,1000,NA,NA,cfu/g,semiquantitative,Thermotolerant coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ricca and Cooney,1998,Ricca and Cooney 1998,yes,review,"USA, MA, Weymouth",yes,North America,"Microscope, membrain filtration",Conventional,1,<1 cfu/g,cfu/g,1g,Animal,Bird,Columbiformes,Columbinae,Columba,Pigeon,Columba livia,,free,Fecal coliform,feces,yes,yes,Semiquantitative,no,0,32,NA,,NA,NA,NA,NA,1000,10000,NA,NA,cfu/g,semiquantitative,Thermotolerant coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ricca and Cooney,1998,Ricca and Cooney 1998,yes,review,"USA, MA, Weymouth",yes,North America,"Microscope, membrain filtration",Conventional,1,<1 cfu/g,cfu/g,1g,Animal,Bird,Columbiformes,Columbinae,Columba,Pigeon,Columba livia,,free,Fecal coliform,feces,yes,yes,Semiquantitative,no,0,32,NA,,NA,NA,NA,NA,10000,1.00E+05,NA,NA,cfu/g,semiquantitative,Thermotolerant coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
