Reference,Year,Full.Reference,peer.review,search,Location,USA,Global.Region,Method,Conventional..Molecular..or.Immunologic,MDL.ALOD.LOD,Below.MDL,MDL.units,Sample.Volume,kingdom,class,order,family,genius,Animal.common.name,Animal.Latin.Name,X,Free.captive,Pathogen1,Pathogen,medium,Presence,Enumerated,Enum.Stats,Censored.Data,Presence.Absence,Total,percent,Individual.Sample,Mean,Geometric.mean,Standard.deviation,Median,Min,Max,X95..low,X95..high,units,Notes,Notes.1,CenMedianLow,CenMedianHigh,CenMinLow,CenMinHigh,CenMaxLow,CenMaxHigh,log10mean,log10SD,GRADES,GRADES_Score
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Didelphimorphia,Didelphidae,Didelphis,Virginia opossum,Didelphis virginiana,,free,Cryptosporidium W13,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,1,9,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Dipodidae,Napaeozapus,Woodland jumping mouse,Napaeozapus insignis ,,free,Cryptosporidium,Cryptosporidium,"feces, intestines content, live, hunted and dead animals.",yes,no,,,ND,1,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Firth et al. ,2014,Firth et al.  2014,yes,Google Scholar,"USA, New York, New York City",yes,North America,PCR,Molecular,0.35x10^3 to 3.5x10^3 RNA copies or 3.5*10^7 after 40 cycles,NA,,NA,Animal,Mammal,Rodentia,Muridae,Rattus,Brown rat,Rattus norvegicus,,free,Cryptosporidium parvum,Cryptosporidium parvum,fecal pellet,yes,no,,,2,133,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Heitman et al.,2002,Heitman et al. 2002,yes,review,"Canada, North Saskatchewan River Basin in Alberta",no,North America,"flotation, centrifuge, PCR KSU-1 992 bp, TSG 650?958 bp",Molecular,NA,NA,,NA,Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,,,free,Cryptosporidium spp. ,Cryptosporidium,feces,yes,no,,,0,57,0,NA,,NA,,,,,,,,More  information From Ferguson et al. 2009 ,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Heitman et al.,2002,Heitman et al. 2002,yes,review,"Canada, North Saskatchewan River Basin in Alberta",no,North America,"flotation, centrifuge, PCR KSU-1 992 bp, TSG 650?958 bp",Molecular,NA,NA,,NA,Animal,Mammal,Carnivora,Felidae,Lynx,Canada lynx,,lynx,free,Cryptosporidium spp. ,Cryptosporidium,feces,yes,no,,,0,1,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Heitman et al.,2002,Heitman et al. 2002,yes,review,"Canada, North Saskatchewan River Basin in Alberta",no,North America,"flotation, centrifuge, PCR KSU-1 992 bp, TSG 650?958 bp",Molecular,NA,NA,,NA,Animal,Mammal,Carnivora,Mustelidae,Pekania,Fisher,Pekania pennanti,,free,Cryptosporidium spp. ,Cryptosporidium,feces,yes,no,,,0,3,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Heitman et al.,2002,Heitman et al. 2002,yes,review,"Canada, North Saskatchewan River Basin in Alberta",no,North America,"flotation, centrifuge, PCR KSU-1 992 bp, TSG 650?958 bp",Molecular,NA,NA,,NA,Animal,Bird,Anseriformes,Anatidae,Anser,Snow goose,Anser caerulescens,,free,Cryptosporidium spp. ,Cryptosporidium,feces,yes,no,,,0,20,,NA,,NA,,,,,,,,More  information From Ferguson et al. 2009 ,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Heitman et al.,2002,Heitman et al. 2002,yes,review,"Canada, North Saskatchewan River Basin in Alberta",no,North America,"flotation, centrifuge, PCR KSU-1 992 bp, TSG 650?958 bp",Molecular,NA,NA,,NA,Animal,Bird,Galliformes,Phasianidae,,,,Grouse (family),free,Cryptosporidium spp. ,Cryptosporidium,feces,yes,no,,,0,50,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Heitman et al.,2002,Heitman et al. 2002,yes,review,"Canada, North Saskatchewan River Basin in Alberta",no,North America,"flotation, centrifuge, PCR KSU-1 992 bp, TSG 650?958 bp",Molecular,NA,NA,,NA,Animal,Mammal,Carnivora,Mustelidae,Martes,,,Marten (genus),free,Cryptosporidium spp. ,Cryptosporidium,feces,yes,no,,,0,4,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Heitman et al.,2002,Heitman et al. 2002,yes,review,"Canada, North Saskatchewan River Basin in Alberta",no,North America,"flotation, centrifuge, PCR KSU-1 992 bp, TSG 650?958 bp",Molecular,NA,NA,,NA,Animal,Mammal,Rodentia,,,,,Mouse (order),free,Cryptosporidium spp. ,Cryptosporidium,feces,yes,no,,,0,2,0,NA,,NA,,,,,,,,More  information From Ferguson et al. 2009 ,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Heitman et al.,2002,Heitman et al. 2002,yes,review,"Canada, North Saskatchewan River Basin in Alberta",no,North America,"flotation, centrifuge, PCR KSU-1 992 bp, TSG 650?958 bp",Molecular,NA,NA,,NA,Animal,Mammal,Rodentia,Sciuridae,,,,Squirrel (family),free,Cryptosporidium spp. ,Cryptosporidium,feces,yes,no,,,0,15,0,NA,,NA,,,,,,,,More  information From Ferguson et al. 2009 ,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Hill et al.,2008,Hill et al. 2008,yes,Google Scholar,"Australia, Sydney region",no,Western Pacific,"PCR (custom primers, 18SiCF2/18SiCR2 763-bp, 18SiF/18SiR 310-bp), paramagnetic beads conjugated with Cry104 ",Molecular,10-100 oocysts/g,NA,,0.1 g,Animal,Mammal,Diprotodontia,Phalangeridae,Trichosurus,Common brushtail possum,Trichosurus vulpecula,,Free,Cryptosporidium ,Cryptosporidium,feces,yes,no,,,16,151,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Hill et al.,2008,Hill et al. 2008,yes,Google Scholar,"Australia, Blue Mountains, Jenolan Caves Reserve ",no,Western Pacific,"PCR (custom primers, 18SiCF2/18SiCR2 763-bp, 18SiF/18SiR 310-bp), paramagnetic beads conjugated with Cry103",Molecular,10-100 oocysts/g,NA,,0.1 g,Animal,Mammal,Diprotodontia,Phalangeridae,Trichosurus,Common brushtail possum,Trichosurus vulpecula,,Free,Cryptosporidium ,Cryptosporidium,feces,yes,no,,,1,18,,NA,10,NA,,,,,,,,(1 BTP1 genotype),,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Hill et al.,2008,Hill et al. 2008,yes,Google Scholar,"Australia, Sydney region",no,Western Pacific,Immunomagnetic separation with flow cytometery microscope count,Conventional,10,NA,oocyst/g,0.1 g,Animal,Mammal,Diprotodontia,Phalangeridae,Trichosurus,Common brushtail possum,Trichosurus vulpecula,,Free,Cryptosporidium ,Cryptosporidium,feces,yes,yes,Semiquantitative,yes,0,18,,NA,,NA,,,1000,10000,,,1000-10000 oocysts/g,distribution of oocysts in possums,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Hill et al.,2008,Hill et al. 2008,yes,Google Scholar,"Australia, Sydney region",no,Western Pacific,Immunomagnetic separation with flow cytometery microscope count,Conventional,10,NA,oocyst/g,0.1 g,Animal,Mammal,Diprotodontia,Phalangeridae,Trichosurus,Common brushtail possum,Trichosurus vulpecula,,Free,Cryptosporidium ,Cryptosporidium,feces,yes,yes,Semiquantitative,yes,1,18,,NA,,NA,,,10000,100000,,,10000-100000 oocysts/g,distribution of oocysts in possums,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Hill et al.,2008,Hill et al. 2008,yes,Google Scholar,"Australia, Sydney region",no,Western Pacific,Immunomagnetic separation with flow cytometery microscope count,Conventional,10,NA,oocyst/g,0.1 g,Animal,Mammal,Diprotodontia,Phalangeridae,Trichosurus,Common brushtail possum,Trichosurus vulpecula,,Free,Cryptosporidium ,Cryptosporidium,feces,yes,yes,Semiquantitative,yes,1,18,,NA,,NA,,,100,1000,,,100-1000 oocysts/g,distribution of oocysts in possums,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Hill et al.,2008,Hill et al. 2008,yes,Google Scholar,"Australia, Sydney region",no,Western Pacific,Immunomagnetic separation with flow cytometery microscope count,Conventional,10,NA,oocyst/g,0.1 g,Animal,Mammal,Diprotodontia,Phalangeridae,Trichosurus,Common brushtail possum,Trichosurus vulpecula,,Free,Cryptosporidium ,Cryptosporidium,feces,yes,yes,Semiquantitative,yes,2,18,,NA,,NA,,,100000,1000000,,,100000-1000000 oocysts/g,distribution of oocysts in possums,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Hill et al.,2008,Hill et al. 2008,yes,Google Scholar,"Australia, Sydney region",no,Western Pacific,Immunomagnetic separation with flow cytometery microscope count,Conventional,10,NA,oocyst/g,0.1 g,Animal,Mammal,Diprotodontia,Phalangeridae,Trichosurus,Common brushtail possum,Trichosurus vulpecula,,Free,Cryptosporidium ,Cryptosporidium,feces,yes,yes,Semiquantitative,yes,4,18,,NA,,NA,,,10,100,,,10-100 oocysts/g,distribution of oocysts in possums,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Hill et al.,2008,Hill et al. 2008,yes,Google Scholar,"Australia, Sydney region",no,Western Pacific,Immunomagnetic separation with flow cytometery microscope count,Conventional,10,NA,oocyst/g,0.1 g,Animal,Mammal,Diprotodontia,Phalangeridae,Trichosurus,Common brushtail possum,Trichosurus vulpecula,,Free,Cryptosporidium ,Cryptosporidium,feces,yes,yes,Semiquantitative,yes,8,18,,NA,,NA,,,0,10,,,0-10 oocysts/g,distribution of oocysts in possums,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Hill et al.,2008,Hill et al. 2008,yes,Google Scholar,"Austrialia, Mosman, Taronga Zoo",no,Western Pacific,Immunomagnetic separation with flow cytometery microscope count,Conventional,10,NA,oocyst/g,0.1 g,Animal,Mammal,Diprotodontia,Phalangeridae,Trichosurus,Common brushtail possum,Trichosurus vulpecula,,Free,Cryptosporidium ,Cryptosporidium,feces,yes,yes,StatsTotal,no,15,133,,NA,70581,NA,,25,,,,,oocysts/g positive samples,"(7 BTP1, 5 BTP2 genotype)",,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Jellison et al.,2004,Jellison et al. 2004,yes,review,"USA, New York, Illinoise, Massachusetts, Colrado, Virginia, Washington, Pennsylvania, Oklahoma",yes,North America,"PCR (CPB-DIAGF/CPB-DIAGR, 434-bp), immuniomagnetic seperation, centrifuge pellet ",Molecular,25 oocysts/g feces,NA,,1-3 g,Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,,,free,Cryptosporidium spp. ,Cryptosporidium,feces,yes,no,,,11,161,,NA,,NA,,,,,,,,Also seperated by location and geen sequence identified.,Detailed genetic information,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Kilonzo et al.,2013,Kilonzo et al. 2013,yes,Web of Science,"USA, Central Coast, CA",yes,North America,"Microscope, immunofluorescence antibody",Conventional,NA,NA,,0.025-0.1g/rodent,Animal,Mammal,Rodentia,Cricetidae,Peromyscus,California deermouse,Peromyscus californicus,,free,Cryptosporidium,Cryptosporidium,feces,yes,no,,,4,38,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Kilonzo et al.,2013,Kilonzo et al. 2013,yes,Web of Science,"USA, Central Coast, CA",yes,North America,"Microscope, immunofluorescence antibody",Conventional,NA,NA,,0.025-0.1g/rodent,Animal,Mammal,Rodentia,Sciuridae,Otospermophilus,California ground squirrel,Spermophilus beecheyi,,free,Cryptosporidium,Cryptosporidium,feces,yes,no,,,1,2,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Kilonzo et al.,2013,Kilonzo et al. 2013,yes,Web of Science,"USA, Central Coast, CA",yes,North America,"Microscope, immunofluorescence antibody",Conventional,NA,NA,,0.025-0.1g/rodent,Animal,Mammal,Rodentia,Cricetidae,Peromyscus,Deer mouse,Peromyscus manicultus,,free,Cryptosporidium,Cryptosporidium,feces,yes,no,,,65,214,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Kilonzo et al.,2013,Kilonzo et al. 2013,yes,Web of Science,"USA, Central Coast, CA",yes,North America,"Microscope, immunofluorescence antibody",Conventional,NA,NA,,0.025-0.1g/rodent,Animal,Mammal,Rodentia,Heteromyidae,Dipodomys,Heermann's kangaroo rat,Dipodomys heermani,,free,Cryptosporidium,Cryptosporidium,feces,yes,no,,,1,3,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Kilonzo et al.,2013,Kilonzo et al. 2013,yes,Web of Science,"USA, Central Coast, CA",yes,North America,"Microscope, immunofluorescence antibody",Conventional,NA,NA,,0.025-0.1g/rodent,Animal,Mammal,Rodentia,Cricetidae,,,"Cricetidae (including  Peromyscus boylii, Peromyscus manicultus, Reithrodontomys megalotis, Microtus californicus, Peromyscus californicus, and Neotoma fuscipes)",,free,Cryptosporidium,Cryptosporidium,feces,yes,no,,,70,265,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Kilonzo et al.,2013,Kilonzo et al. 2013,yes,Web of Science,"USA, Central Coast, CA",yes,North America,"Microscope, immunofluorescence antibody",Conventional,NA,NA,,0.025-0.1g/rodent,Animal,Mammal,Rodentia,Heteromyidae,,,Heteromyidae (including  Chaetodipus californicus and Dipodomys heermani),,free,Cryptosporidium,Cryptosporidium,feces,yes,no,,,1,7,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Kilonzo et al.,2013,Kilonzo et al. 2013,yes,Web of Science,"USA, Central Coast, CA",yes,North America,"Microscope, immunofluorescence antibody",Conventional,NA,NA,,0.025-0.1g/rodent,Animal,Mammal,Rodentia,Muridae ,,,Muridae (including Mus musculus and Rattus norvegicus),,free,Cryptosporidium,Cryptosporidium,feces,yes,no,,,0,3,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Kilonzo et al.,2013,Kilonzo et al. 2013,yes,Web of Science,"USA, Central Coast, CA",yes,North America,"Microscope, immunofluorescence antibody",Conventional,NA,NA,,0.025-0.1g/rodent,Animal,Mammal,Rodentia,,,,,Rodent (undefined),free,Cryptosporidium,Cryptosporidium,feces,yes,no,,,2,8,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Kilonzo et al.,2013,Kilonzo et al. 2013,yes,Web of Science,"USA, Central Coast, CA",yes,North America,"Microscope, immunofluorescence antibody",Conventional,NA,NA,,0.025-0.1g/rodent,Animal,Mammal,Rodentia,Sciuridae,,,Sciuridae (including Spermophilus beecheyi),Squirrel (family),free,Cryptosporidium,Cryptosporidium,feces,yes,no,,,1,2,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Kilonzo et al.,2017,Kilonzo et al. 2017,yes,Google Scholar,"USA, California, Monterey and San Benito County",yes,North America,direct immunofluorescent assay,Conventional,NA,NA,oocyst/g,proportional to weigh of feces pellet,Animal,Mammal,Rodentia,Cricetidae,Peromyscus,Deer mouse,Peromyscus manicultus,,free,Cryptosporidium spp.,Cryptosporidium,feces,no,yes,StatsTotal,no,63,208,,NA,126000000,NA,700000000,,,,,,oocysts/g feces,all samples.,"also broke down by sex, age, season and location",NA,NA,NA,NA,NA,NA,NA,NA,High,3
Kowalewski et al.,2011,Kowalewski et al. 2011,yes,Google Scholar,"Argentina, Cerrito/San Cayetano ",no,South America,"Microscope, Direct Immunofluorescent",Conventional,NA,NA,,NA,Animal,Mammal,Primates,Atelidae,Alouatta,Black howler,Alouatta caraya,,free,Cryptosporidium sp.,Cryptosporidium,feces,yes,no,,,ND,30,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Kowalewski et al.,2011,Kowalewski et al. 2011,yes,Google Scholar,"Argentina, Estacion Biologica Corrientes-Biological Field Station Corrientes",no,South America,"Microscope, Direct Immunofluorescent",Conventional,NA,NA,,NA,Animal,Mammal,Primates,Atelidae,Alouatta,Black howler,Alouatta caraya,,free,Cryptosporidium sp.,Cryptosporidium,feces,yes,no,,,ND,30,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Kowalewski et al.,2011,Kowalewski et al. 2011,yes,Google Scholar,"Argentina, Isla Brasilera",no,South America,"Microscope, Direct Immunofluorescent",Conventional,NA,NA,,NA,Animal,Mammal,Primates,Atelidae,Alouatta,Black howler,Alouatta caraya,Black and Gold Howler Monkeys,free,Cryptosporidium sp.,Cryptosporidium,feces,yes,no,,,ND,30,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Li et al.,2020,Li et al. 2020,yes,Google Scholar,"USA, Pacific Northwest",yes,North America,"PCR (nested 18S rRNA) direct immunofluorescence assay, immunomagnetic separation",Conventional,spike blank with 100 oocysts low recovery 2.2-31.5%,NA,,1-0.1 g,Animal,Mammal,Carnivora,Felidae,Lynx,Bobcat,Lynx rufus,,free,Cryptosporidium,Cryptosporidium,feces,yes,no,,,15,45,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Li et al.,2020,Li et al. 2020,yes,Google Scholar,"USA, Pacific Northwest",yes,North America,"PCR (nested 18S rRNA) direct immunofluorescence assay, immunomagnetic separation",Conventional,spike blank with 100 oocysts low recovery 2.2-31.5%,NA,,1-0.1 g,Animal,Mammal,Rodentia,Cricetidae,Neotoma,Bushy-tailed woodrat,Neotoma cinerea,,free,Cryptosporidium,Cryptosporidium,feces,yes,no,,,3,20,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Li et al.,2020,Li et al. 2020,yes,Google Scholar,"USA, Pacific Northwest",yes,North America,"PCR (nested 18S rRNA) direct immunofluorescence assay, immunomagnetic separation",Conventional,spike blank with 100 oocysts low recovery 2.2-31.5%,NA,,1-0.1 g,Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,Branta canadensis,,free,Cryptosporidium,Cryptosporidium,feces,yes,no,,,1,28,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Li et al.,2020,Li et al. 2020,yes,Google Scholar,"USA, Pacific Northwest",yes,North America,"PCR (nested 18S rRNA) direct immunofluorescence assay, immunomagnetic separation",Conventional,spike blank with 100 oocysts low recovery 2.2-31.5%,NA,,1-0.1 g,Animal,Mammal,Carnivora,Felidae,Puma,Cougar,Puma concolor,,free,Cryptosporidium,Cryptosporidium,feces,yes,no,,,4,8,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Li et al.,2020,Li et al. 2020,yes,Google Scholar,"USA, Pacific Northwest",yes,North America,"PCR (nested 18S rRNA) direct immunofluorescence assay, immunomagnetic separation",Conventional,spike blank with 100 oocysts low recovery 2.2-31.5%,NA,,1-0.1 g,Animal,Mammal,Rodentia,Cricetidae,Peromyscus,Deer mouse,Peromyscus maniculatus,,free,Cryptosporidium,Cryptosporidium,feces,yes,no,,,3,73,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Li et al.,2020,Li et al. 2020,yes,Google Scholar,"USA, Pacific Northwest",yes,North America,"PCR (nested 18S rRNA) direct immunofluorescence assay, immunomagnetic separation",Conventional,spike blank with 100 oocysts low recovery 2.2-31.5%,NA,,1-0.1 g,Animal,Mammal,Rodentia,Sciuridae,Tamiasciurus,Douglas squirrel,Tamiasciurus douglasii,,free,Cryptosporidium,Cryptosporidium,feces,yes,no,,,ND,1,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Li et al.,2020,Li et al. 2020,yes,Google Scholar,"USA, Pacific Northwest",yes,North America,"PCR (nested 18S rRNA) direct immunofluorescence assay, immunomagnetic separation",Conventional,spike blank with 100 oocysts low recovery 2.2-31.5%,NA,,1-0.1 g,Animal,Mammal,Rodentia,Cricetida,Microtus,Long-tailed vole,Microtus longicaudus,,free,Cryptosporidium,Cryptosporidium,feces,yes,no,,,ND,1,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Li et al.,2020,Li et al. 2020,yes,Google Scholar,"USA, Pacific Northwest",yes,North America,"PCR (nested 18S rRNA) direct immunofluorescence assay, immunomagnetic separation",Conventional,spike blank with 100 oocysts low recovery 2.2-31.5%,NA,,1-0.1 g,Animal,Mammal,Rodentia,Aplodontiidae,Aplodontia,Mountain beaver,Aplodontia rufa,,free,Cryptosporidium,Cryptosporidium,feces,yes,no,,,4,10,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Li et al.,2020,Li et al. 2020,yes,Google Scholar,"USA, Pacific Northwest",yes,North America,"PCR (nested 18S rRNA) direct immunofluorescence assay, immunomagnetic separation",Conventional,spike blank with 100 oocysts low recovery 2.2-31.5%,NA,,1-0.1 g,Animal,Mammal,Rodentia,Cricetidae,Arborimus,Red tree vole,Arborimus longicaudus,,free,Cryptosporidium,Cryptosporidium,feces,yes,no,,,ND,1,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Li et al.,2020,Li et al. 2020,yes,Google Scholar,"USA, Pacific Northwest",yes,North America,"PCR (nested 18S rRNA) direct immunofluorescence assay, immunomagnetic separation",Conventional,spike blank with 100 oocysts low recovery 2.2-31.5%,NA,,1-0.1 g,Animal,Mammal,Carnivora,Mustelidae,Lontra,North american river otter,Lontra canadensis,,free,Cryptosporidium,Cryptosporidium,feces,yes,no,,,1,19,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Li et al.,2020,Li et al. 2020,yes,Google Scholar,"USA, Pacific Northwest",yes,North America,"PCR (nested 18S rRNA) direct immunofluorescence assay, immunomagnetic separation",Conventional,spike blank with 100 oocysts low recovery 2.2-31.5%,NA,,1-0.1 g,Animal,Mammal,Rodentia,Sciuridae,Tamias,Townsend's chipmunk,Neotamias townsendii,,free,Cryptosporidium,Cryptosporidium,feces,yes,no,,,1,42,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Li et al.,2020,Li et al. 2020,yes,Google Scholar,"USA, Pacific Northwest",yes,North America,"PCR (nested 18S rRNA) direct immunofluorescence assay, immunomagnetic separation",Conventional,spike blank with 100 oocysts low recovery 2.2-31.5%,NA,,1-0.1 g,Animal,Bird,Rodentia,Cricetidae,Microtus,Townsend's vole,Microtus townsendii,,free,Cryptosporidium,Cryptosporidium,feces,yes,no,,,ND,1,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Li et al.,2020,Li et al. 2020,yes,Google Scholar,"USA, Pacific Northwest",yes,North America,"PCR (nested 18S rRNA) direct immunofluorescence assay, immunomagnetic separation",Conventional,spike blank with 100 oocysts low recovery 2.2-31.5%,NA,,1-0.1 g,Animal,Mammal,Soricomorpha,Soricidae,Sorex,Trowbridge's shrew,Sorex trowbridgii,,free,Cryptosporidium,Cryptosporidium,feces,yes,no,,,ND,7,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Li et al.,2020,Li et al. 2020,yes,Google Scholar,"USA, Pacific Northwest",yes,North America,"PCR (nested 18S rRNA) direct immunofluorescence assay, immunomagnetic separation",Conventional,spike blank with 100 oocysts low recovery 2.2-31.5%,NA,,1-0.1 g,Animal,Mammal,Soricomorpha,Soricidae,Sorex,Vagrant shrew,Sorex vagrans,,free,Cryptosporidium,Cryptosporidium,feces,yes,no,,,ND,1,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Li et al.,2020,Li et al. 2020,yes,Google Scholar,"USA, Pacific Northwest",yes,North America,"PCR (nested 18S rRNA) direct immunofluorescence assay, immunomagnetic separation",Conventional,spike blank with 100 oocysts low recovery 2.2-31.5%,NA,,1-0.1 g,Animal,Mammal,Carnivora,Mephitidae,Spilogale,Western spotted skunk,Spilogale gracilis,,free,Cryptosporidium,Cryptosporidium,feces,yes,no,,,1,2,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Lohmus et al.,2013,Lohmus et al. 2013,yes,Google Scholar,"Sweden, Uppsala, rural dwellings",no,Europe,"immunofluorescence microscopy, Standard Method (methods Sweden National Veterinary Institute)",Conventional,NA,NA,,1 g,Animal,Mammal,Rodentia,Cricetidae,Myodes,Bank vole,Myodes glareolus),,free,Cryptosporidium sp.,Cryptosporidium,intestines content,yes,no,,,ND,9,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Lohmus et al.,2013,Lohmus et al. 2013,yes,Google Scholar,"Sweden, Uppsala, rural dwellings",no,Europe,"immunofluorescence microscopy, Standard Method (methods Sweden National Veterinary Institute)",Conventional,NA,NA,,1 g,Animal,Mammal,Rodentia,Muridae,Mus,House mouse,Mus musculus,,free,Cryptosporidium sp.,Cryptosporidium,intestines content,yes,no,,,ND,2,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Lohmus et al.,2013,Lohmus et al. 2013,yes,Google Scholar,"Sweden, Uppsala, rural dwellings",no,Europe,"immunofluorescence microscopy, Standard Method (methods Sweden National Veterinary Institute)",Conventional,NA,NA,,1 g,Animal,Mammal,Rodentia,Muridae,Apodemus,Wood mouse,Apodemus sylvaticus,,free,Cryptosporidium sp.,Cryptosporidium,intestines content,yes,no,,,1,9,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Lohmus et al.,2013,Lohmus et al. 2013,yes,Google Scholar,"Sweden, Uppsala, rural dwellings",no,Europe,"immunofluorescence microscopy, Standard Method (methods Sweden National Veterinary Institute)",Conventional,NA,NA,,1 g,Animal,Mammal,Rodentia,Muridae,Apodemus,Yellow-necked mouse,Apodemus flavicollis,,free,Cryptosporidium sp.,Cryptosporidium,intestines content,yes,no,,,3,80,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Lowenstein et al.,2020,Lowenstein et al. 2020,yes,Web of Science,"Ecuador, Yaruqui, Quito",no,South America,ELISA,Molecular,NA,NA,,NA,Animal,Mammal,Carnivora,Felidae,Felis,Cat,,,domestic,Cryptosporidium parvum,Cryptosporidium parvum,feces swab,yes,no,,,2,21,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
