Reference,Year,Full.Reference,peer.review,search,Location,USA,Global.Region,Method,Conventional..Molecular..or.Immunologic,MDL.ALOD.LOD,Below.MDL,MDL.units,Sample.Volume,kingdom,class,order,family,genius,Animal.common.name,Animal.Latin.Name,X,Free.captive,Pathogen1,Pathogen,medium,Presence,Enumerated,Enum.Stats,Censored.Data,Presence.Absence,Total,percent,Individual.Sample,Mean,Geometric.mean,Standard.deviation,Median,Min,Max,X95..low,X95..high,units,Notes,Notes.1,CenMedianLow,CenMedianHigh,CenMinLow,CenMinHigh,CenMaxLow,CenMaxHigh,log10mean,log10SD,GRADES,GRADES_Score
Ebani et al.,2021,Ebani et al. 2021,yes,Web of Science,"Italy, Central Italy",no,Europe,"PCR (outcryF/outcry R 1326 bp, incryF/incryR 826-864 bp)",Molecular,NA,NA,,25 mg,Animal,Bird,Gruiformes,Rallidae,Fulica,Eurasian coot,Fulica atra,,free,Cryptosporidium spp. ,Cryptosporidium,feces,yes,no,,,0,1,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ebani et al.,2021,Ebani et al. 2021,yes,Web of Science,"Italy, Central Italy",no,Europe,"PCR (outcryF/outcry R 1326 bp, incryF/incryR 826-864 bp)",Molecular,NA,NA,,25 mg,Animal,Bird,Accipitriformes,Accipitridae,Accipiter,Eurasian sparrowhawk,Accipiter nisus,,free,Cryptosporidium spp. ,Cryptosporidium,feces,yes,no,,,0,1,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ebani et al.,2021,Ebani et al. 2021,yes,Web of Science,"Italy, Central Italy",no,Europe,"PCR (outcryF/outcry R 1326 bp, incryF/incryR 826-864 bp)",Molecular,NA,NA,,25 mg,Animal,Bird,Anseriformes,Anatidae,Anas,Eurasian teal,Anas crecca,,free,Cryptosporidium spp. ,Cryptosporidium,feces,yes,no,,,0,22,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ebani et al.,2021,Ebani et al. 2021,yes,Web of Science,"Italy, Central Italy",no,Europe,"PCR (outcryF/outcry R 1326 bp, incryF/incryR 826-864 bp)",Molecular,NA,NA,,25 mg,Animal,Bird,Anseriformes,Anatidae,Mareca,Eurasian wigeon,Anas penelope,,free,Cryptosporidium spp. ,Cryptosporidium,feces,yes,no,,,0,11,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ebani et al.,2021,Ebani et al. 2021,yes,Web of Science,"Italy, Central Italy",no,Europe,"PCR (outcryF/outcry R 1326 bp, incryF/incryR 826-864 bp)",Molecular,NA,NA,,25 mg,Animal,Bird,Pelecaniformes,Ardeidae,Butorides,Green heron,Ardea cinerea,,free,Cryptosporidium spp. ,Cryptosporidium,feces,yes,no,,,0,2,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ebani et al.,2021,Ebani et al. 2021,yes,Web of Science,"Italy, Central Italy",no,Europe,"PCR (outcryF/outcry R 1326 bp, incryF/incryR 826-864 bp)",Molecular,NA,NA,,25 mg,Animal,Bird,Strigiformes,Strigidae,Athene,Little owl,Athene noctua ,,free,Cryptosporidium spp. ,Cryptosporidium,feces,yes,no,,,0,1,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ebani et al.,2021,Ebani et al. 2021,yes,Web of Science,"Italy, Central Italy",no,Europe,"PCR (outcryF/outcry R 1326 bp, incryF/incryR 826-864 bp)",Molecular,NA,NA,,25 mg,Animal,Bird,Anseriformes,Anatidae,Anas,Mallard,Anas platyrhynchos,,free,Cryptosporidium spp. ,Cryptosporidium,feces,yes,no,,,0,15,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ebani et al.,2021,Ebani et al. 2021,yes,Web of Science,"Italy, Central Italy",no,Europe,"PCR (outcryF/outcry R 1326 bp, incryF/incryR 826-864 bp)",Molecular,NA,NA,,25 mg,Animal,Bird,Anseriformes,Anatidae,Anas,Northern pintail,Anas acuta,,free,Cryptosporidium spp. ,Cryptosporidium,feces,yes,no,,,0,1,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ebani et al.,2021,Ebani et al. 2021,yes,Web of Science,"Italy, Central Italy",no,Europe,"PCR (outcryF/outcry R 1326 bp, incryF/incryR 826-864 bp)",Molecular,NA,NA,,25 mg,Animal,Bird,Anseriformes,Anatidae,Spatula,Northern shoveler ,Anas clypeata,,free,Cryptosporidium spp. ,Cryptosporidium,feces,yes,no,,,0,3,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ebani et al.,2021,Ebani et al. 2021,yes,Web of Science,"Italy, Central Italy",no,Europe,"PCR (outcryF/outcry R 1326 bp, incryF/incryR 826-864 bp)",Molecular,NA,NA,,25 mg,Animal,Bird,Falconiformes,Falconidae,Falco,Peregrine falcon, Falco peregrinus,,free,Cryptosporidium spp. ,Cryptosporidium,feces,yes,no,,,0,1,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ebani et al.,2021,Ebani et al. 2021,yes,Web of Science,"Italy, Central Italy",no,Europe,"PCR (outcryF/outcry R 1326 bp, incryF/incryR 826-864 bp)",Molecular,NA,NA,,25 mg,Animal,Bird,Columbiformes,Columbidae,Columba,Pigeon,Columba livia,,free,Cryptosporidium spp. ,Cryptosporidium,feces,yes,no,,,0,21,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Ebani et al.,2021,Ebani et al. 2021,yes,Web of Science,"Italy, Central Italy",no,Europe,"PCR (outcryF/outcry R 1326 bp, incryF/incryR 826-864 bp)",Molecular,NA,NA,,25 mg,Animal,Bird,Charadriiformes,Laridae,Larus,Yellow legged gull,Larus michahellis,,free,Cryptosporidium spp. ,Cryptosporidium,feces,yes,no,,,0,35,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Carnivora,Ursida,Ursus,American black bear,Ursus americanus,,free,Cryptosporidium,Cryptosporidium,"feces, intestines content, live, hunted and dead animals.",yes,no,,,ND,5,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Carnivora,Mustelidae,Mustela,American mink,Mustela vison ,,free,Cryptosporidium,Cryptosporidium,"feces, intestines content, live, hunted and dead animals.",yes,no,,,1,4,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Carnivora,Mustelidae,Mustela,American mink,Mustela vison ,,free,Cryptosporidium Mink genotype,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,1,4,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Amphibia,Anura,Bufonidae,Anaxyrus,American toad,Bufo americanus,,free,Cryptosporidium,Cryptosporidium,"feces, intestines content, live, hunted and dead animals.",yes,no,,,ND,1,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Mammal,Rodentia,Muridae,Rattus,Brown rat,Rattus norvegicus,,free,Cryptosporidium,Cryptosporidium,"feces, intestines content, live, hunted and dead animals.",yes,no,,,ND,1,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,Branta canadensis ,,free,Cryptosporidium,Cryptosporidium,"feces, intestines content, live, hunted and dead animals.",yes,no,,,10,52,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,Branta canadensis ,,free,Cryptosporidium Goose genotypes II and I,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,1,52,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,Branta canadensis ,,free,Cryptosporidium Goose genotype II,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,2,52,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Feng et al.,2007,Feng et al. 2007,yes,Google Scholar,"USA, New York, New York City/Catskill Couty/Deleware Couty/Croton County",yes,North America,"PCR (SSU rRNA gene 830, SspI and VspI)",Molecular,NA,NA,,0.2 ml,Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,Branta canadensis ,,free,Cryptosporidium Goose genotype I,Cryptosporidium (genotype),"feces, intestines content, live, hunted and dead animals.",yes,no,,,7,52,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
